date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200101,19,PM2.5,40.0,41.0,40.0,44.0,41.0,37.0,46.0,51.0,,50.0,41.0,50.0,49.0,43.0,43.0,34.0,28.0,43.0,50.0,60.0,44.0,31.0,64.0,44.0,66.0,26.0,52.0,70.0,57.0,61.0,43.0,46.0,43.0,,35.0
20200101,19,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,19,PM10,70.0,57.0,73.0,75.0,68.0,68.0,84.0,129.0,,102.0,77.0,99.0,116.0,98.0,66.0,73.0,55.0,69.0,92.0,108.0,55.0,55.0,89.0,95.0,100.0,38.0,114.0,119.0,132.0,110.0,57.0,73.0,67.0,,86.0
20200101,19,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,19,AQI,60.0,58.0,62.0,63.0,59.0,59.0,67.0,90.0,,76.0,64.0,75.0,83.0,74.0,60.0,62.0,53.0,60.0,71.0,81.0,61.0,53.0,86.0,73.0,89.0,38.0,82.0,94.0,91.0,83.0,60.0,64.0,60.0,,68.0
20200101,20,PM2.5,43.0,42.0,43.0,51.0,50.0,42.0,48.0,58.0,,46.0,49.0,49.0,55.0,49.0,42.0,46.0,33.0,51.0,49.0,63.0,39.0,37.0,73.0,49.0,51.0,28.0,57.0,85.0,58.0,59.0,41.0,49.0,51.0,42.0,39.0
20200101,20,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,20,PM10,76.0,61.0,86.0,85.0,81.0,78.0,95.0,107.0,,95.0,95.0,93.0,123.0,115.0,68.0,87.0,60.0,81.0,92.0,97.0,54.0,64.0,124.0,83.0,78.0,36.0,119.0,130.0,104.0,118.0,61.0,82.0,83.0,86.0,86.0
20200101,20,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,20,AQI,63.0,59.0,68.0,70.0,69.0,64.0,73.0,79.0,,73.0,73.0,72.0,87.0,83.0,59.0,69.0,55.0,70.0,71.0,85.0,55.0,57.0,98.0,68.0,70.0,40.0,85.0,113.0,79.0,84.0,58.0,68.0,70.0,68.0,68.0
20200101,21,PM2.5,47.0,44.0,43.0,45.0,49.0,45.0,48.0,73.0,,44.0,44.0,56.0,58.0,49.0,42.0,48.0,40.0,52.0,52.0,57.0,37.0,46.0,80.0,41.0,48.0,32.0,69.0,73.0,60.0,51.0,45.0,53.0,51.0,46.0,44.0
